customer_key,customer_id,segment
1,CUST1086,Corporate
2,CUST1412,Consumer
3,CUST1628,Home Office
4,CUST1101,Corporate
5,CUST1885,Consumer
6,CUST2601,Consumer
7,CUST2630,Consumer
8,CUST2714,Corporate
9,CUST2303,Consumer
10,CUST2779,Consumer
11,CUST2245,Home Office
12,CUST2091,Consumer
13,CUST2581,Consumer
14,CUST1442,Home Office
15,CUST2842,Corporate
16,CUST1437,Consumer
17,CUST2161,Corporate
18,CUST2219,Home Office
19,CUST2321,Home Office
20,CUST1007,Home Office
21,CUST2990,Consumer
22,CUST1767,Home Office
23,CUST2567,Corporate
24,CUST2314,Consumer
25,CUST1999,Corporate
26,CUST1251,Consumer
27,CUST1279,Consumer
28,CUST1298,Consumer
29,CUST2361,Home Office
30,CUST1212,Home Office
31,CUST2015,Home Office
32,CUST1116,Consumer
33,CUST1326,Home Office
34,CUST1845,Consumer
35,CUST1286,Corporate
36,CUST1641,Home Office
37,CUST1294,Corporate
38,CUST1354,Corporate
39,CUST1727,Corporate
40,CUST2631,Corporate
41,CUST2760,Corporate
42,CUST2412,Consumer
43,CUST1645,Consumer
44,CUST2352,Corporate
45,CUST1021,Home Office
46,CUST1270,Consumer
47,CUST1069,Corporate
48,CUST1731,Consumer
49,CUST2786,Consumer
50,CUST2026,Home Office
51,CUST1311,Home Office
52,CUST2688,Home Office
53,CUST2584,Home Office
54,CUST1489,Corporate
55,CUST1812,Corporate
56,CUST2029,Home Office
57,CUST2785,Home Office
58,CUST1482,Corporate
59,CUST2422,Consumer
60,CUST2925,Consumer
61,CUST1754,Home Office
62,CUST2947,Home Office
63,CUST1328,Corporate
64,CUST2618,Home Office
65,CUST2106,Home Office
66,CUST1869,Corporate
67,CUST1105,Corporate
68,CUST1504,Consumer
69,CUST1892,Corporate
70,CUST2755,Home Office
71,CUST1119,Corporate
72,CUST1619,Home Office
73,CUST1425,Home Office
74,CUST2874,Consumer
75,CUST2635,Home Office
76,CUST1713,Consumer
77,CUST2362,Home Office
78,CUST1292,Home Office
79,CUST1844,Corporate
80,CUST2904,Corporate
81,CUST2239,Consumer
82,CUST1718,Home Office
83,CUST1054,Consumer
84,CUST2769,Corporate
85,CUST2770,Consumer
86,CUST2437,Home Office
87,CUST1065,Corporate
88,CUST2669,Corporate
89,CUST1159,Home Office
90,CUST2534,Consumer
91,CUST1948,Corporate
92,CUST1210,Home Office
93,CUST1386,Corporate
94,CUST2628,Home Office
95,CUST1938,Consumer
96,CUST2514,Consumer
97,CUST2398,Consumer
98,CUST1289,Home Office
99,CUST1895,Corporate
100,CUST2851,Home Office
101,CUST1680,Corporate
102,CUST1969,Consumer
103,CUST2343,Home Office
104,CUST2189,Corporate
105,CUST2146,Consumer
106,CUST1677,Consumer
107,CUST1013,Consumer
108,CUST2371,Home Office
109,CUST1366,Corporate
110,CUST2218,Corporate
111,CUST2326,Home Office
112,CUST1436,Consumer
113,CUST1443,Corporate
114,CUST1220,Consumer
115,CUST1068,Consumer
116,CUST2415,Consumer
117,CUST1874,Home Office
118,CUST2002,Corporate
119,CUST2279,Home Office
120,CUST2638,Corporate
121,CUST2310,Corporate
122,CUST2284,Consumer
123,CUST2248,Consumer
124,CUST2330,Consumer
125,CUST1772,Consumer
126,CUST1152,Consumer
127,CUST1507,Home Office
128,CUST2080,Consumer
129,CUST2046,Home Office
130,CUST1203,Corporate
131,CUST2363,Consumer
