order_id,customer_id,order_date,product_name,category,subcategory,quantity,revenue,discount,profit,region,state,segment
ORD100000,CUST1086,24-08-2024,Bookcases 4,Furniture,Bookcases,2,1623.25,0.2,-169.05,North,Karnataka,Corporate
ORD100001,CUST1412,23-02-2024,Bookcases 36,Furniture,Bookcases,10,15814.13,0.2,-1755.29,South,Tamil Nadu,Consumer
ORD100002,CUST1628,03-01-2022,Chairs 34,Furniture,Chairs,3,1189.17,0.1,77.07,East,Karnataka,Home Office
ORD100003,CUST1101,21-07-2024,Storage 48,Office Supplies,Storage,7,5138.32,0.1,-230.47,South,Gujarat,Corporate
ORD100004,CUST1885,29-01-2024,Bookcases 50,Furniture,Bookcases,2,3885.66,0.15,523.16,East,Gujarat,Consumer
ORD100005,CUST2601,05-03-2024,Paper 14,Office Supplies,Paper,3,304.44,0.15,-16.49,North,Gujarat,Consumer
ORD100006,CUST2630,29-07-2023,Tables 27,Furniture,Tables,3,2034.18,0.3,-504.95,North,Maharashtra,Consumer
ORD100007,CUST2714,12-02-2024,Phones 18,Technology,Phones,10,1438.19,0.1,148.08,East,UP,Corporate
ORD100008,CUST2303,19-09-2023,Accessories 38,Technology,Accessories,10,3650.38,0.15,523.61,North,Gujarat,Consumer
ORD100009,CUST2779,26-11-2024,Laptops 49,Technology,Laptops,9,4880.39,0.3,-262.11,North,UP,Consumer
ORD100010,CUST2245,08-08-2022,Tables 49,Furniture,Tables,9,4314.42,0.15,207.54,South,UP,Home Office
ORD100011,CUST2091,05-01-2022,Laptops 5,Technology,Laptops,6,1129.53,0.1,135.63,West,Tamil Nadu,Consumer
ORD100012,CUST2581,25-05-2022,Accessories 22,Technology,Accessories,9,8603.54,0.05,2040.94,West,Gujarat,Consumer
ORD100013,CUST1442,18-05-2022,Paper 16,Office Supplies,Paper,10,19347.01,0.05,1864.16,East,Maharashtra,Home Office
ORD100014,CUST2842,15-05-2023,Storage 28,Office Supplies,Storage,6,782.02,0.05,133.77,West,Karnataka,Corporate
ORD100015,CUST1437,22-01-2022,Bookcases 50,Furniture,Bookcases,1,936.29,0.15,22.28,North,Delhi,Consumer
ORD100016,CUST2161,16-02-2024,Accessories 31,Technology,Accessories,7,1157.37,0.3,-176.19,North,Karnataka,Corporate
ORD100017,CUST2219,24-01-2024,Storage 4,Office Supplies,Storage,6,2677.49,0.15,-59.1,North,Delhi,Home Office
ORD100018,CUST2321,25-04-2023,Tables 28,Furniture,Tables,7,7616.9,0.05,1081.03,South,Gujarat,Home Office
ORD100019,CUST1007,05-03-2024,Bookcases 4,Furniture,Bookcases,1,159.5,0.05,30.91,East,UP,Home Office
ORD100020,CUST2990,28-06-2024,Chairs 23,Furniture,Chairs,3,5655.14,0.3,-103.69,West,Karnataka,Consumer
ORD100021,CUST1767,15-08-2023,Chairs 42,Furniture,Chairs,10,14818.17,0.3,-2978.52,West,Tamil Nadu,Home Office
ORD100022,CUST2567,18-10-2024,Binders 37,Office Supplies,Binders,7,1301.52,0.2,-68.76,North,Tamil Nadu,Corporate
ORD100023,CUST2314,17-12-2022,Storage 21,Office Supplies,Storage,8,4924.51,0.2,-16.31,East,Karnataka,Consumer
ORD100024,CUST1999,30-09-2024,Tables 48,Furniture,Tables,8,15471.88,0.15,551.94,East,Tamil Nadu,Corporate
ORD100025,CUST1251,12-11-2024,Laptops 28,Technology,Laptops,4,1471.02,0.2,-193.24,North,Gujarat,Consumer
ORD100026,CUST1279,02-10-2024,Storage 42,Office Supplies,Storage,9,17775.77,0,1771.87,South,Karnataka,Consumer
ORD100027,CUST1298,17-12-2024,Tables 42,Furniture,Tables,7,773.44,0.1,-0.22,North,UP,Consumer
ORD100028,CUST2361,06-06-2022,Chairs 16,Furniture,Chairs,1,1451.55,0.1,207.31,East,UP,Home Office
ORD100029,CUST1212,25-08-2022,Chairs 26,Furniture,Chairs,9,2166.16,0.05,62.75,North,Delhi,Home Office
ORD100030,CUST2015,02-06-2024,Accessories 36,Technology,Accessories,3,5219.69,0.15,-90.17,East,UP,Home Office
ORD100031,CUST1116,17-10-2023,Binders 43,Office Supplies,Binders,7,1545.33,0.3,-260.7,North,Tamil Nadu,Consumer
ORD100032,CUST1326,11-10-2023,Binders 44,Office Supplies,Binders,7,10403.76,0.3,-293.35,East,Delhi,Home Office
ORD100033,CUST1845,03-06-2023,Binders 13,Office Supplies,Binders,9,8974.88,0.2,834.02,West,Gujarat,Consumer
ORD100034,CUST1286,23-08-2023,Chairs 21,Furniture,Chairs,9,15416.43,0.2,-149.24,South,Delhi,Corporate
ORD100035,CUST1641,26-05-2022,Accessories 46,Technology,Accessories,5,7824.19,0.1,631.28,East,Karnataka,Home Office
ORD100036,CUST1294,22-09-2022,Tables 2,Furniture,Tables,5,4561.64,0.05,501.02,East,Tamil Nadu,Corporate
ORD100037,CUST1354,21-07-2022,Accessories 18,Technology,Accessories,10,4832.66,0,621.43,East,Delhi,Corporate
ORD100038,CUST1727,03-02-2024,Accessories 8,Technology,Accessories,5,5331.42,0.3,-1147.15,West,Karnataka,Corporate
ORD100039,CUST2631,30-06-2022,Bookcases 30,Furniture,Bookcases,9,11235.54,0.1,8.6,West,UP,Corporate
ORD100040,CUST2760,11-07-2024,Laptops 24,Technology,Laptops,6,11348.53,0.1,1403.77,West,UP,Corporate
ORD100041,CUST2412,14-01-2022,Tables 27,Furniture,Tables,4,7091.56,0.05,1432.71,East,Maharashtra,Consumer
ORD100042,CUST1645,09-10-2022,Phones 5,Technology,Phones,10,13034.67,0.3,-1770.97,North,Maharashtra,Consumer
ORD100043,CUST2352,17-01-2024,Laptops 8,Technology,Laptops,1,515.04,0.15,63.42,East,Gujarat,Corporate
ORD100044,CUST1021,12-03-2024,Storage 16,Office Supplies,Storage,5,5623.75,0.05,171.65,West,Tamil Nadu,Home Office
ORD100045,CUST1270,04-12-2022,Tables 17,Furniture,Tables,7,5438.76,0.3,-1210.05,West,Karnataka,Consumer
ORD100046,CUST1069,06-11-2024,Bookcases 25,Furniture,Bookcases,5,2665.38,0.3,-666,East,Delhi,Corporate
ORD100047,CUST1731,06-11-2022,Paper 7,Office Supplies,Paper,8,6159.05,0.1,-297.25,North,Karnataka,Consumer
ORD100048,CUST2786,17-07-2022,Laptops 44,Technology,Laptops,7,7492.94,0,1282.85,North,Karnataka,Consumer
ORD100049,CUST2026,23-07-2024,Tables 49,Furniture,Tables,5,7078.14,0.05,597.42,South,Gujarat,Home Office
ORD100050,CUST1311,28-02-2024,Storage 42,Office Supplies,Storage,8,15132.23,0.3,-2955.46,South,Karnataka,Home Office
ORD100051,CUST2688,03-02-2022,Tables 33,Furniture,Tables,6,6962.36,0.15,-63.31,West,UP,Home Office
ORD100052,CUST2584,25-05-2022,Storage 20,Office Supplies,Storage,10,19463.86,0.15,-745.1,West,Karnataka,Home Office
ORD100053,CUST1489,11-02-2022,Accessories 8,Technology,Accessories,3,4268.93,0.1,107.66,South,Tamil Nadu,Corporate
ORD100054,CUST1812,18-03-2023,Binders 47,Office Supplies,Binders,3,1923.59,0,224.47,South,Gujarat,Corporate
ORD100055,CUST2029,22-03-2024,Bookcases 23,Furniture,Bookcases,6,11733.41,0.15,-1022.34,North,Tamil Nadu,Home Office
ORD100056,CUST2785,12-12-2023,Storage 41,Office Supplies,Storage,4,2517.71,0,525.16,West,UP,Home Office
ORD100057,CUST1482,02-09-2023,Storage 35,Office Supplies,Storage,4,5573.36,0.2,-154.03,South,Karnataka,Corporate
ORD100058,CUST2422,05-01-2024,Tables 12,Furniture,Tables,5,9863.68,0.15,-786.99,West,Delhi,Consumer
ORD100059,CUST2925,25-06-2024,Storage 48,Office Supplies,Storage,10,8023.43,0,1861.87,West,Delhi,Consumer
ORD100060,CUST1754,21-12-2024,Paper 36,Office Supplies,Paper,4,3195.15,0.15,466.03,North,Tamil Nadu,Home Office
ORD100061,CUST2947,24-11-2023,Bookcases 43,Furniture,Bookcases,6,5146.6,0,451.25,West,Maharashtra,Home Office
ORD100062,CUST1328,20-07-2022,Phones 46,Technology,Phones,3,3196.73,0.2,206.48,West,Gujarat,Corporate
ORD100063,CUST2618,28-06-2023,Laptops 17,Technology,Laptops,5,3596.61,0.15,-344.75,West,Delhi,Home Office
ORD100064,CUST2106,22-09-2023,Accessories 6,Technology,Accessories,6,6437.86,0.1,239.27,West,Tamil Nadu,Home Office
ORD100065,CUST1869,16-02-2024,Laptops 32,Technology,Laptops,3,848.21,0,188.93,South,Gujarat,Corporate
ORD100066,CUST1105,14-11-2022,Accessories 11,Technology,Accessories,1,834.8,0.05,174.83,South,Gujarat,Corporate
